id;nombre;direccion;c_uit;telefono
1;EXE input disintermediate;Electronics Mississippi;52430;32591
2;Engineer Road Internal;ivory Chad zero defect;33856;65906
3;Australian Dollar;Coordinator;52803;94446
4;PNG Steel compressing;Branding;64701;4276
5;Kiribati Internal;indigo;56471;41723
6;Architect;auxiliary withdrawal digital;56914;58270
7;Producer Internal;collaborative Euro silver;31344;77428
8;Avon digital;Assistant Accounts Fish;36312;12400
9;Granite River;Avon;14061;66128
10;Iranian Rial New Mexico monitor;real-time Montana;86030;52796
