id;nombre;direccion;cuit;telefono
1;connecting Wooden;Nebraska web services Clothing;97039;31111
2;Metal;Mews;73739;73465
3;Fish;Wisconsin programming USB;73215;43378
4;Borders Producer;sky blue Incredible Metal Fish;67719;78507
5;Berkshire;invoice Kentucky Borders;60449;76847
6;Slovenia concept;Saudi Arabia;99091;37517
7;extranet alarm;Surinam Dollar user-centric value-added;45121;23815
8;United States Minor Outlying Islands;overriding even-keeled;17251;68811
9;Tasty;synthesize;80804;21880
10;models;Developer;83669;79596
